crop_type,temperature,humidity,sunlight_hours,water_ph,air_quality_index,wind_speed,suitability_percentage,suitability_class
lettuce,11.71,80,5.4,5.68,55,0.68,55.52,1
lettuce,8.83,73,5.6,6.08,31,0.69,62.98,1
lettuce,42.2,62,4.1,5.75,61,0.64,54.42,1
lettuce,19.82,61,4.3,5.86,56,1.09,78.67,2
lettuce,41.84,57,5.6,5.77,69,0.97,54.82,1
lettuce,20.26,59,4.5,6.45,32,1.45,73.81,2
lettuce,20.43,66,6.0,5.78,50,1.07,76.99,2
lettuce,5.2,66,6.7,6.01,56,0.83,56.63,1
lettuce,24.83,62,3.9,5.73,32,1.2,67.36,1
lettuce,21.3,63,4.9,6.04,36,0.81,88.1,2
lettuce,22.55,60,6.1,5.51,47,0.17,60.43,1
lettuce,22.81,66,4.9,5.76,42,1.62,75.33,2
lettuce,24.41,73,4.7,6.39,61,0.46,63.3,1
lettuce,28.3,61,5.2,6.08,43,0.69,69.38,1
lettuce,34.7,57,6.0,6.09,65,0.22,50.2,1
lettuce,16.24,66,4.9,5.78,45,0.56,76.5,2
lettuce,29.84,60,5.2,5.74,55,0.45,58.2,1
lettuce,17.21,69,4.1,6.05,47,0.81,76.09,2
lettuce,25.61,61,4.3,6.54,55,0.58,58.9,1
lettuce,19.51,71,4.8,6.0,45,1.66,80.69,2
lettuce,19.44,56,4.4,6.1,22,0.74,82.88,2
lettuce,19.38,59,4.5,6.73,48,1.1,67.74,1
lettuce,18.41,73,5.1,5.52,63,1.13,70.05,2
lettuce,17.95,56,4.4,6.16,27,0.5,75.87,2
lettuce,21.36,64,4.4,5.99,16,0.0,81.91,2
lettuce,19.76,62,4.4,5.9,52,1.2,80.35,2
lettuce,20.41,62,5.0,6.33,51,0.95,82.16,2
lettuce,15.42,73,4.4,6.34,75,1.8,55.54,1
lettuce,19.06,57,4.6,6.3,80,0.75,70.54,2
lettuce,19.07,69,3.9,5.76,30,0.69,76.34,2
lettuce,22.29,67,5.6,5.87,38,0.73,79.57,2
lettuce,12.9,61,3.8,5.61,71,0.95,54.75,1
lettuce,19.59,68,5.8,6.01,28,1.2,84.31,2
lettuce,46.45,48,5.7,5.72,70,1.46,44.32,0
lettuce,20.57,67,3.6,6.14,41,0.36,73.23,2
lettuce,21.22,67,5.1,5.97,57,1.32,82.21,2
lettuce,10.51,62,5.4,5.95,41,1.4,64.52,1
lettuce,24.25,67,4.2,5.85,39,0.74,73.67,2
lettuce,29.91,60,6.5,5.94,53,1.21,53.81,1
lettuce,14.62,64,4.9,6.07,30,1.05,80.34,2
